,left sensor,right sensor,left motor,right motor
0,139,160,43,47
1,139,160,43,47
2,139,161,43,47
3,139,157,44,46
4,138,162,43,47
5,140,164,43,47
6,135,155,43,47
7,142,167,43,47
8,145,162,44,46
9,144,170,43,47
10,142,167,43,47
11,139,160,43,47
12,135,164,43,47
13,143,156,44,46
14,139,141,45,45
15,148,142,45,45
16,151,147,45,45
17,134,145,44,46
18,151,147,45,45
19,139,142,45,45
20,153,145,45,45
21,158,135,47,43
22,154,137,46,44
23,154,144,46,44
24,153,140,46,44
25,166,147,46,44
26,168,147,47,43
27,166,151,46,44
28,166,144,47,43
29,178,141,48,42
30,173,144,47,43
31,182,146,48,42
32,178,137,49,41
33,175,140,48,42
34,167,136,48,42
35,169,132,48,42
36,171,139,48,42
37,163,142,47,43
38,182,142,49,41
39,163,131,48,42
40,168,132,48,42
41,144,132,46,44
42,164,127,48,42
43,171,131,49,41
44,166,137,47,43
45,178,148,48,42
46,191,132,50,40
47,175,137,48,42
48,168,145,47,43
49,159,135,47,43
50,162,145,46,44
51,153,133,47,43
52,129,137,45,45
53,150,127,47,43
54,149,143,45,45
55,139,134,45,45
56,144,139,45,45
57,129,136,45,45
58,124,148,43,47
59,139,141,45,45
60,139,155,44,46
61,141,147,45,45
62,134,142,45,45
63,134,147,44,46
64,132,148,44,46
65,140,142,45,45
66,137,154,44,46
67,129,173,41,49
68,139,169,42,48
69,135,167,42,48
70,128,172,41,49
71,161,173,44,46
72,131,173,41,49
73,142,179,42,48
74,124,180,40,50
75,129,174,41,49
76,121,186,39,51
77,141,203,39,51
78,142,190,41,49
79,138,211,38,52
80,146,204,40,50
81,142,197,40,50
82,140,182,41,49
83,135,171,42,48
84,137,160,43,47
85,129,145,44,46
86,138,148,44,46
87,139,146,45,45
88,135,137,45,45
89,141,137,45,45
90,134,130,45,45
91,146,115,48,42
92,147,130,46,44
93,143,143,45,45
94,143,136,45,45
95,138,140,45,45
96,157,142,46,44
97,148,138,46,44
98,152,140,46,44
99,157,140,46,44
100,156,143,46,44
101,167,139,47,43
102,156,146,46,44
103,183,143,49,41
104,166,135,48,42
105,176,134,49,41
106,147,130,46,44
107,152,131,47,43
108,132,128,45,45
109,140,132,45,45
110,131,128,45,45
111,140,132,45,45
112,141,136,45,45
113,143,131,46,44
114,140,137,45,45
115,145,129,46,44
116,153,139,46,44
117,153,132,47,43
118,155,125,48,42
119,145,138,45,45
120,157,132,47,43
121,152,131,47,43
122,160,132,47,43
123,160,138,47,43
124,158,136,47,43
125,164,136,47,43
126,167,136,48,42
127,181,132,49,41
128,182,131,50,40
129,177,133,49,41
130,176,133,49,41
131,172,141,48,42
132,171,143,47,43
133,162,153,45,45
